appid,app_name,genres,steamspy_tags
1282100,REMNANT II®,"['Action', 'Adventure', 'RPG']",Action;Adventure;RPG
1150530,Wizard with a Gun,"['Action', 'Adventure', 'Indie']",Action;Adventure;Indie
16900,GROUND BRANCH,"['Action', 'Indie', 'Simulation', 'Early Access']",Action;Indie;Simulation;Early Access
1587130,Blood West,"['Action', 'Indie', 'RPG']",Action;Indie;RPG
367500,Dragon's Dogma: Dark Arisen,"['Action', 'Adventure', 'RPG']",Action;Adventure;RPG
1222690,Dragon Age™ Inquisition,"['Action', 'Adventure', 'RPG', 'Strategy']",Action;Adventure;RPG;Strategy
1361210,"Warhammer 40,000: Darktide","['Action', 'Adventure', 'RPG']",Action;Adventure;RPG
646570,Slay the Spire,"['Indie', 'Strategy']",Indie;Strategy
2351560,Apocalypse Party,"['Action', 'Casual', 'Indie', 'Strategy']",Action;Casual;Indie;Strategy
2195250,EA SPORTS FC™ 24,"['Simulation', 'Sports']",Simulation;Sports
1020790,NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS,"['Action', 'Adventure']",Action;Adventure
332800,Five Nights at Freddy's 2,['Indie'],Indie
1384160,GUILTY GEAR -STRIVE-,['Action'],Action
594650,Hunt: Showdown 1896,['Action'],Action
1159290,The Bloodline,"['Action', 'Indie', 'RPG', 'Early Access']",Action;Indie;RPG;Early Access
459820,Crush Crush,"['Casual', 'Indie', 'Free To Play']",Casual;Indie;Free To Play
740130,Tales of ARISE,"['Action', 'RPG']",Action;RPG
1222670,The Sims™ 4,"['Adventure', 'Casual', 'Simulation', 'Free To Play']",Adventure;Casual;Simulation;Free To Play
1240440,Halo Infinite,"['Action', 'Free To Play']",Action;Free To Play
1844380,Warhammer Age of Sigmar: Realms of Ruin,"['Action', 'Strategy']",Action;Strategy
1190000,Car Mechanic Simulator 2021,"['Racing', 'Simulation']",Racing;Simulation
108600,Project Zomboid,"['Indie', 'RPG', 'Simulation', 'Early Access']",Indie;RPG;Simulation;Early Access
2231450,Pizza Tower,"['Action', 'Indie']",Action;Indie
1239080,Door Kickers 2: Task Force North,"['Action', 'Indie', 'Simulation', 'Strategy']",Action;Indie;Simulation;Strategy
2064650,Tower of Fantasy,"['Action', 'Massively Multiplayer', 'RPG', 'Free To Play']",Action;Massively Multiplayer;RPG;Free To Play
1149460,ICARUS,"['Action', 'Adventure', 'Simulation']",Action;Adventure;Simulation
1551360,Forza Horizon 5,"['Action', 'Adventure', 'Racing', 'Simulation', 'Sports']",Action;Adventure;Racing;Simulation;Sports
951440,Volcanoids,"['Action', 'Adventure', 'Indie', 'Simulation', 'Early Access']",Action;Adventure;Indie;Simulation;Early Access
1621690,Core Keeper,"['Action', 'Adventure', 'Indie', 'RPG', 'Simulation']",Action;Adventure;Indie;RPG;Simulation
1687950,Persona 5 Royal,['RPG'],RPG
1446780,MONSTER HUNTER RISE,['Action'],Action
601510,Yu-Gi-Oh! Duel Links,"['Strategy', 'Free To Play']",Strategy;Free To Play
2208920,Assassin's Creed Valhalla,"['Action', 'Adventure', 'RPG']",Action;Adventure;RPG
585420,Trailmakers,"['Action', 'Adventure', 'Indie', 'Racing', 'Simulation']",Action;Adventure;Indie;Racing;Simulation
2138710,Sifu,"['Action', 'Indie']",Action;Indie
341800,Keep Talking and Nobody Explodes,['Indie'],Indie
2318310,Class of '09: The Re-Up,"['Casual', 'Indie', 'RPG', 'Simulation']",Casual;Indie;RPG;Simulation
1172620,Sea of Thieves: 2025 Edition,"['Action', 'Adventure']",Action;Adventure
1238840,Battlefield™ 1,"['Action', 'Massively Multiplayer']",Action;Massively Multiplayer
736220,Squad 44,"['Action', 'Indie', 'Massively Multiplayer', 'Strategy']",Action;Indie;Massively Multiplayer;Strategy
2378900,The Coffin of Andy and Leyley,"['Adventure', 'RPG', 'Early Access']",Adventure;RPG;Early Access
1623940,Bramble: The Mountain King,"['Adventure', 'Indie']",Adventure;Indie
997010,Police Simulator: Patrol Officers,['Simulation'],Simulation
671860,BattleBit Remastered,"['Action', 'Massively Multiplayer', 'Early Access']",Action;Massively Multiplayer;Early Access
220200,Kerbal Space Program,"['Indie', 'Simulation']",Indie;Simulation
546560,Half-Life: Alyx,"['Action', 'Adventure']",Action;Adventure
1465360,SnowRunner,"['Adventure', 'Simulation']",Adventure;Simulation
516750,My Summer Car,"['Indie', 'Racing', 'Simulation']",Indie;Racing;Simulation
1469610,Last Train Home,['Strategy'],Strategy
2357570,Overwatch®,"['Action', 'Free To Play']",Action;Free To Play
304390,FOR HONOR™,['Action'],Action
1693980,Dead Space,"['Action', 'Adventure']",Action;Adventure
518790,theHunter: Call of the Wild™,"['Adventure', 'Simulation', 'Sports']",Adventure;Simulation;Sports
602960,Barotrauma,"['Action', 'Indie', 'Simulation', 'Strategy']",Action;Indie;Simulation;Strategy
1062810,Inkbound,"['Action', 'Indie', 'Massively Multiplayer', 'RPG', 'Simulation', 'Strategy']",Action;Indie;Massively Multiplayer;RPG;Simulation;Strategy
728880,Overcooked! 2,"['Action', 'Casual', 'Indie']",Action;Casual;Indie
1159690,Voidtrain,"['Action', 'Adventure', 'Indie', 'RPG', 'Simulation']",Action;Adventure;Indie;RPG;Simulation
1774580,STAR WARS Jedi: Survivor™,"['Action', 'Adventure']",Action;Adventure
690790,DiRT Rally 2.0,"['Racing', 'Simulation', 'Sports']",Racing;Simulation;Sports
1977170,Jusant,"['Action', 'Adventure', 'Indie']",Action;Adventure;Indie
962130,Grounded,"['Action', 'Adventure']",Action;Adventure
2050650,Resident Evil 4,"['Action', 'Adventure']",Action;Adventure
2167580,Summoners War: Chronicles,"['Action', 'Adventure', 'Massively Multiplayer', 'RPG', 'Strategy', 'Free To Play']",Action;Adventure;Massively Multiplayer;RPG;Strategy;Free To Play
581320,Insurgency: Sandstorm,['Action'],Action
1817070,Marvel’s Spider-Man Remastered,"['Action', 'Adventure', 'Casual']",Action;Adventure;Casual
